Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
Eadd9,add9,x,x,4,4,5,1,x,x,1,1,2,1,,,Gb,B,E,F,,,2,5,1,b2,x-x-4-4-5-1,x-x-1-1-2-1,Gb B E F,1 b2 2 5 ,
Edim,dim,x,1,2,3,2,x,0,1,2,4,3,0,,Bb,E,Bb,Db,,,b5,1,b5,6,,x-1-2-3-2-x,0-1-2-4-3-0,Bb E Bb Db,1 b5 6 ,
Edim,dim,x,7,8,9,8,x,x,1,2,4,3,x,,E,Bb,E,G,,,1,b5,1,b3,,x-7-8-9-8-x,x-1-2-4-3-x,E Bb E G,1 b3 b5 ,
Edim,dim,x,10,x,12,11,12,x,1,x,3,2,4,,G,,G,Bb,E,,b3,,b3,b5,1,x-10-x-12-11-12,x-1-x-3-2-4,G G Bb E,1 b3 b5 ,
Edim,dim,x,13,14,12,11,x,x,3,4,2,1,x,,Bb,E,G,Bb,,,b5,1,b3,b5,,x-13-14-12-11-x,x-3-4-2-1-x,Bb E G Bb,1 b3 b5 ,
Edim,dim,x,x,2,3,5,3,x,x,1,2,4,3,,,E,Bb,E,G,,,1,b5,1,b3,x-x-2-3-5-3,x-x-1-2-4-3,E Bb E G,1 b3 b5 ,
Edim,dim,x,x,5,3,5,6,x,x,2,1,3,4,,,G,Bb,E,Bb,,,b3,b5,1,b5,x-x-5-3-5-6,x-x-2-1-3-4,G Bb E Bb,1 b3 b5 ,
Edim7,dim7,0,1,2,0,2,0,0,1,2,0,3,0,E,Bb,E,G,Db,E,1,b5,1,b3,6,1,0-1-2-0-2-0,0-1-2-0-3-0,E Bb E G Db E,1 b3 b5 6 ,
Edim7,dim7,12,x,11,12,11,x,2,x,1,3,1,x,E,,Db,G,Bb,,1,,6,b3,b5,,12-x-11-12-11-x,2-x-1-3-1-x,E Db G Bb,1 b3 b5 6 ,
Edim7,dim7,x,7,8,6,8,6,x,2,3,1,4,1,,E,Bb,Db,G,Bb,,1,b5,6,b3,b5,x-7-8-6-8-6,x-2-3-1-4-1,E Bb Db G Bb,1 b3 b5 6 ,
